field_id,acquisition_date,ndvi_mean,ndvi_median,cloud_cover
F01,2026-01-15,0.6,0.59,3.7
F02,2026-01-15,0.2,0.19,3.7
F03,2026-01-15,0.27,0.25,3.7
F04,2026-01-15,0.68,0.67,3.7
F05,2026-01-15,0.48,0.49,3.7
F01,2026-02-15,0.78,0.77,5.9
F02,2026-02-15,0.22,0.21,5.9
F03,2026-02-15,0.32,0.3,5.9
F04,2026-02-15,0.7,0.69,5.9
F05,2026-02-15,0.54,0.55,5.9
F01,2026-03-15,0.72,0.71,8.1
F02,2026-03-15,0.24,0.23,8.1
F03,2026-03-15,0.37,0.35,8.1
F04,2026-03-15,0.72,0.71,8.1
F05,2026-03-15,0.45,0.46,8.1
F01,2026-04-15,0.75,0.74,1.5
F02,2026-04-15,0.18,0.17,1.5
F03,2026-04-15,0.42,0.4,1.5
F04,2026-04-15,0.68,0.67,1.5
F05,2026-04-15,0.51,0.52,1.5
F01,2026-05-15,0.58,0.57,3.7
F02,2026-05-15,0.2,0.19,3.7
F03,2026-05-15,0.5,0.48,3.7
F04,2026-05-15,0.7,0.69,3.7
F05,2026-05-15,0.42,0.43,3.7
F01,2026-06-15,0.62,0.61,15.0
F02,2026-06-15,0.22,0.21,15.0
F03,2026-06-15,0.58,0.56,15.0
F04,2026-06-15,0.72,0.71,15.0
F05,2026-06-15,0.48,0.49,15.0
F01,2026-07-15,0.6,0.59,27.5
F02,2026-07-15,0.24,0.23,27.5
F03,2026-07-15,0.66,0.64,27.5
F04,2026-07-15,0.38,0.37,27.5
F05,2026-07-15,0.54,0.55,27.5
F01,2026-08-15,0.58,0.57,40.0
F02,2026-08-15,0.18,0.17,40.0
F03,2026-08-15,0.74,0.72,40.0
F04,2026-08-15,0.35,0.34,40.0
F05,2026-08-15,0.45,0.46,40.0
F01,2026-09-15,0.72,0.71,15.0
F02,2026-09-15,0.2,0.19,15.0
F03,2026-09-15,0.68,0.66,15.0
F04,2026-09-15,0.45,0.44,15.0
F05,2026-09-15,0.51,0.52,15.0
F01,2026-10-15,0.75,0.74,5.9
F02,2026-10-15,0.22,0.21,5.9
F03,2026-10-15,0.62,0.6,5.9
F04,2026-10-15,0.55,0.54,5.9
F05,2026-10-15,0.42,0.43,5.9
F01,2026-11-15,0.78,0.77,8.1
F02,2026-11-15,0.24,0.23,8.1
F03,2026-11-15,0.22,0.2,8.1
F04,2026-11-15,0.6,0.59,8.1
F05,2026-11-15,0.48,0.49,8.1
F01,2026-12-15,0.62,0.61,1.5
F02,2026-12-15,0.18,0.17,1.5
F03,2026-12-15,0.19,0.17,1.5
F04,2026-12-15,0.55,0.54,1.5
F05,2026-12-15,0.54,0.55,1.5
